no,prioritas,kategori,program_kode,aksi,akar_masalah,target_selesai,pic,status,progres_persen
1,SANGAT TINGGI,NON_TEKNIS,N-09,"Sensus & pemeteran PJU ilegal di 4 kecamatan (Samboja, Samboja Barat, Muara Jawa, Loa Janan Ilir) — bentuk tim gabungan dengan Pemda/Dishub",PJU tanpa meter & sambungan langsung ke JTR; kWh terpakai tidak tercatat,2026-11-30,Supervisor Transaksi Energi,BERJALAN,55
2,SANGAT TINGGI,NON_TEKNIS,N-03,"Task force penagihan tagihan susulan P2TL: rekonsiliasi piutang, surat panggilan, opsi cicilan, pemutusan bagi yang menunggak > 30 hari",Temuan P2TL tinggi tetapi realisasi tagih hanya 74% — kWh temuan tidak berkonversi jadi pendapatan,2026-12-15,Supervisor Transaksi Energi,BERJALAN,48
3,SANGAT TINGGI,TEKNIS,T-10,"Percepatan uprating konduktor JTM penyulang SBJ-02 Sungai Merdeka & SBJ-01 Kuala Samboja (segmen ujung, drop tegangan > 7%)","Penyulang terpanjang dengan drop tegangan 6,8–7,4% dan penampang konduktor tidak memadai",2026-12-20,Supervisor Teknik,TERLAMBAT,36
4,TINGGI,TEKNIS,T-06,"Pemasangan 5 unit kapasitor bank sisa pada penyulang cos phi < 0,90 (SBJ-01, SBJ-02, SBJ-03)","Cos phi 0,86–0,89 menaikkan arus dan rugi I²R pada JTM/trafo",2026-11-30,Supervisor Teknik,BERJALAN,44
5,TINGGI,TEKNIS,T-05,Rekonfigurasi & pemecahan beban 3 penyulang tersisa; manuver beban ke SBJ-09 & SBJ-10 yang masih ringan,"Ketimpangan beban antar penyulang; SBJ-01/02 padat, SBJ-09/10 ringan",2026-12-10,Supervisor Teknik,BERJALAN,50
6,TINGGI,NON_TEKNIS,N-05,Pengadaan & penggantian 700 unit kWh meter tua > 15 tahun (prioritas daya >= 2.200 VA),Meter tua cenderung lambat/under-register 2–5%,2026-12-15,Supervisor Transaksi Energi,TERLAMBAT,63
7,TINGGI,NON_TEKNIS,N-12,Operasi penertiban sambungan langsung di area padat Handil Baru & Kuala Samboja bersama aparat,Permukiman padat & pendatang proyek IKN; sambungan liar dari JTR,2026-11-15,Supervisor Transaksi Energi,BERJALAN,61
8,SEDANG,NON_TEKNIS,N-07,Pemeriksaan APP 745 pelanggan potensial sisa; prioritaskan pelanggan dengan penurunan pemakaian > 30% YoY,Anomali pemakaian belum dianalisis sistematis,2026-12-20,Supervisor Transaksi Energi,BERJALAN,69
9,SEDANG,TEKNIS,T-03,Pemasangan 5 trafo sisip pada gardu overload > 80% & JTR > 350 m,JTR terlalu panjang dari gardu menyebabkan rugi I²R besar,2026-12-05,Supervisor Teknik,BERJALAN,58
10,SEDANG,TEKNIS,T-02,"Penggantian 7,1 kms JTR usang (kawat telanjang) menjadi twisted cable",JTR kawat telanjang rawan rugi & pencurian,2026-12-20,Supervisor Teknik,BERJALAN,71
11,SEDANG,NON_TEKNIS,N-06,Normalisasi 35 AMR pelanggan besar yang gagal baca / offline > 3 hari,"Sinyal modem lemah & meter error, pembacaan jadi estimasi",2026-10-31,Supervisor Transaksi Energi,BERJALAN,79
12,RUTIN,TEKNIS,T-01,Lanjutkan pengukuran & penyeimbangan beban trafo (unbalance > 15% wajib ditindak dalam 7 hari),"Unbalance rata-rata unit 13,8%; SBJ-01 mencapai 21,4%",Rutin bulanan,Supervisor Teknik,TERCAPAI,106
